yelp_id,crime_score,business_name,rating,category
the-hamilton-new-york-3,196,The Hamilton,4.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Whiskey Bars', alias='whiskeybars')]"
dutch-freds-new-york-2,646,Dutch Freds,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Tapas/Small Plates', alias='tapasmallplates'), Category(name='American (New)', alias='newamerican')]"
es-bar-new-york,238,E's Bar,4.5,"[Category(name='Bars', alias='bars')]"
tanner-smiths-new-york,414,Tanner Smiths,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]"
the-pony-bar-new-york,286,The Pony Bar,4.0,"[Category(name='Bars', alias='bars')]"
pocket-bar-nyc-new-york,256,Pocket Bar NYC,4.5,"[Category(name='Wine Bars', alias='wine_bars')]"
the-dead-poet-new-york,232,The Dead Poet,4.0,"[Category(name='Bars', alias='bars')]"
drunken-munkey-nyc-new-york,200,Drunken Munkey NYC,4.5,"[Category(name='Indian', alias='indpak'), Category(name='Cocktail Bars', alias='cocktailbars')]"
caledonia-bar-new-york-3,296,Caledonia Bar,4.5,"[Category(name='Pubs', alias='pubs'), Category(name='Scottish', alias='scottish'), Category(name='Whiskey Bars', alias='whiskeybars')]"
whiskey-tavern-new-york,268,Whiskey Tavern,4.5,"[Category(name='Bars', alias='bars')]"
the-penrose-new-york,254,The Penrose,4.0,"[Category(name='Gastropubs', alias='gastropubs'), Category(name='Bars', alias='bars')]"
district-social-new-york,983,District Social,4.5,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican')]"
the-bar-room-new-york,519,The Bar Room,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars')]"
the-jeffrey-craft-beer-and-bites-new-york,307,The Jeffrey Craft Beer & Bites,4.0,"[Category(name='Bars', alias='bars'), Category(name='Gastropubs', alias='gastropubs'), Category(name='American (New)', alias='newamerican')]"
at-the-wallace-new-york-3,253,At the Wallace,4.5,"[Category(name='Bars', alias='bars')]"
d-amore-winebar-and-ristorante-new-york,327,D'Amore Winebar & Ristorante,4.5,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Italian', alias='italian')]"
