,categories,deals,display_phone,distance,eat24_url,gift_certificates,id,image_url,is_claimed,is_closed,location,menu_date_updated,menu_provider,mobile_url,name,phone,rating,rating_img_url,rating_img_url_large,rating_img_url_small,reservation_url,review_count,reviews,snippet_image_url,snippet_text,url,address,city,coordinate,country_code,cross_streets,display_address,geo_accuracy,neighborhoods,postal_code,state_code,latitude,longitude
0,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Whiskey Bars', alias='whiskeybars')]",,+1-212-866-7200,,,,the-hamilton-new-york-3,https://s3-media2.fl.yelpcdn.com/bphoto/n2MypbryHjnP7zSpqUy6Fg/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10c2e4668>,,,http://m.yelp.com/biz/the-hamilton-new-york-3?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,The Hamilton,2128667200,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,,50,,http://s3-media1.fl.yelpcdn.com/photo/HEXCSXeprSp4RoY3lCKE2A/ms.jpg,"What a gem this place is. 

I have been here quite a few times and will return again and again. From the servers to the bartenders, all of the staff is...",http://www.yelp.com/biz/the-hamilton-new-york-3?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['998 Amsterdam Avenue'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c2e4390>,US,108th St & Cathedral Pky,"['998 Amsterdam Avenue', 'Manhattan Valley', 'New York, NY 10025']",9.5,['Manhattan Valley'],10025,NY,40.8027668786632,-73.9640214206238
1,"[Category(name='Bars', alias='bars')]",,+1-212-586-2707,,,,the-pony-bar-new-york,https://s3-media4.fl.yelpcdn.com/bphoto/QKa1HzyDO8vtLNo98fVRfg/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10c2cf400>,1471540241.0,single_platform,http://m.yelp.com/biz/the-pony-bar-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,The Pony Bar,2125862707,4.0,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,,785,,http://s3-media3.fl.yelpcdn.com/photo/vG8bw-g-wR9dVsQe9uL7hA/ms.jpg,"Went there only for a pint with a friend and not for food on a Wednesday afternoon. 

Beer selection is beautiful and is changing every week so you won't...",http://www.yelp.com/biz/the-pony-bar-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['637 10th Ave'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c2cf0b8>,US,45th St & 46th St,"['637 10th Ave', 'Midtown West', 'New York, NY 10036']",8.0,"['Midtown West', ""Hell's Kitchen""]",10036,NY,40.76178,-73.99431
2,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Tapas/Small Plates', alias='tapasmallplates'), Category(name='American (New)', alias='newamerican')]",,+1-646-918-6923,,,,dutch-freds-new-york-2,https://s3-media2.fl.yelpcdn.com/bphoto/78gMj-tpfLM1kHRq-oXiYw/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10c2cf160>,,,http://m.yelp.com/biz/dutch-freds-new-york-2?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,Dutch Freds,6469186923,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,,131,,http://s3-media3.fl.yelpcdn.com/photo/Zq8nIfnvZra26mICyudC4g/ms.jpg,I heard about this place from some of my colleagues they insisted we go see the Bartender Frankie. What an amazing time we had with him. His drinks were A M...,http://www.yelp.com/biz/dutch-freds-new-york-2?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['307 W 47th St'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c2cf2b0>,US,9th Ave & 8th Ave,"['307 W 47th St', 'Theater District', 'New York, NY 10036']",8.0,"['Theater District', 'Midtown West', ""Hell's Kitchen""]",10036,NY,40.7608184814453,-73.9878463745117
3,"[Category(name='Bars', alias='bars')]",,+1-212-877-0961,,,,es-bar-new-york,https://s3-media1.fl.yelpcdn.com/bphoto/s_n3rI6L-ga4FhZimQPOPA/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10c2cf358>,1452863100.0,single_platform,http://m.yelp.com/biz/es-bar-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,E's Bar,2128770961,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,,179,,http://s3-media3.fl.yelpcdn.com/photo/G1KX1EVrqxI_cZA93NEt0w/ms.jpg,"From the outside, e's Bar appears like any other bar, but there is just so much more to it. I love how there are many layers to e's Bar, just like the...",http://www.yelp.com/biz/es-bar-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['511 Amsterdam Ave'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c2cf860>,US,84th St & 85th St,"['511 Amsterdam Ave', 'Upper West Side', 'New York, NY 10024']",9.5,['Upper West Side'],10024,NY,40.786692073145,-73.9755653589964
4,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",,+1-646-590-2034,,,,tanner-smiths-new-york,https://s3-media2.fl.yelpcdn.com/bphoto/R3F_aRp2XO0zFITjYKAu3w/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10c2cf908>,,,http://m.yelp.com/biz/tanner-smiths-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,Tanner Smiths,6465902034,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,,363,,http://s3-media4.fl.yelpcdn.com/photo/jhTPsGv3d1Q9rO808ojtZg/ms.jpg,"I love this place. 
The food is really good. And the cocktails are out standing and spot on. 
I had my birthday drinks there and they were very accommodating.",http://www.yelp.com/biz/tanner-smiths-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['204 W 55 St'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c2cfa58>,US,,"['204 W 55 St', 'Midtown West', 'New York, NY 10019']",8.0,['Midtown West'],10019,NY,40.764278,-73.981712
5,"[Category(name='Wine Bars', alias='wine_bars')]",,+1-646-682-9062,,,,pocket-bar-nyc-new-york,https://s3-media4.fl.yelpcdn.com/bphoto/QfIn8pnTR2h5mWCyS4ChCQ/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10be41be0>,,,http://m.yelp.com/biz/pocket-bar-nyc-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,Pocket Bar NYC,6466829062,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,,160,,http://s3-media1.fl.yelpcdn.com/photo/xJFsAMBcCrfaLy79JgpFkg/ms.jpg,This place is adorable! I went last night (7/15/16) and just loved cozy atmosphere and the bartender knew everyone and had fantastic service. It has a...,http://www.yelp.com/biz/pocket-bar-nyc-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['455 W 48th St'],New York,<yelp.obj.coordinate.Coordinate object at 0x10bac9a58>,US,10th Ave & 9th Ave,"['455 W 48th St', 'Midtown West', 'New York, NY 10036']",9.5,"['Midtown West', ""Hell's Kitchen""]",10036,NY,40.7633645,-73.9922985
6,"[Category(name='Bars', alias='bars')]",,+1-212-595-5670,,,,the-dead-poet-new-york,https://s3-media4.fl.yelpcdn.com/bphoto/g-f72Md8caN8MuMjcJwoDA/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10bac9828>,1442259527.0,single_platform,http://m.yelp.com/biz/the-dead-poet-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,The Dead Poet,2125955670,4.0,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,,313,,http://s3-media1.fl.yelpcdn.com/photo/LqSOwm7aIMPsGWcld_93Qw/ms.jpg,"Really loved this place! 

The bar itself is decorated beautifully with custom printed Jameson bottles (printed backwards so they can be read in the large...",http://www.yelp.com/biz/the-dead-poet-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['450 Amsterdam Ave'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c2e9cf8>,US,81st St & 82nd St,"['450 Amsterdam Ave', 'Upper West Side', 'New York, NY 10024']",8.0,['Upper West Side'],10024,NY,40.784992,-73.977348
7,"[Category(name='Indian', alias='indpak'), Category(name='Cocktail Bars', alias='cocktailbars')]",,+1-646-998-4600,,,,drunken-munkey-nyc-new-york,https://s3-media2.fl.yelpcdn.com/bphoto/I9MhKn3f8QHsOFEPDeyV9Q/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10c2e9f28>,1442199680.0,single_platform,http://m.yelp.com/biz/drunken-munkey-nyc-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,Drunken Munkey NYC,6469984600,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,,467,,http://s3-media1.fl.yelpcdn.com/photo/Bi2pg1UJcK8Hh6lKVxWl1g/ms.jpg,"Finally a place that satisfied my craving for briyani! Lamb briyani is to die for! 

Nice little place for brunch.",http://www.yelp.com/biz/drunken-munkey-nyc-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['338 E 92nd St'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c2e9d30>,US,1st Ave & 2nd Ave,"['338 E 92nd St', 'Upper East Side', 'New York, NY 10128']",8.0,"['Upper East Side', 'Yorkville']",10128,NY,40.7808609,-73.9475937
8,"[Category(name='Pubs', alias='pubs'), Category(name='Scottish', alias='scottish'), Category(name='Whiskey Bars', alias='whiskeybars')]",,+1-212-734-4300,,,,caledonia-bar-new-york-3,https://s3-media3.fl.yelpcdn.com/bphoto/OwBC1Fgwt-Zk5bN3WBJwGw/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10c2e9d68>,,,http://m.yelp.com/biz/caledonia-bar-new-york-3?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,Caledonia Bar,2127344300,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,,186,,http://s3-media3.fl.yelpcdn.com/photo/KIhrHAHArK4bsFpMVpHzVg/ms.jpg,"Great spectrum of Scotch.
The bartenders - Trevor and Sarah are top notch professionals.
My question is, ""when will they stock IrnBru?!""",http://www.yelp.com/biz/caledonia-bar-new-york-3?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['1609 2nd Ave'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c29b048>,US,83rd St & 84th St,"['1609 2nd Ave', 'Upper East Side', 'New York, NY 10028']",9.5,"['Upper East Side', 'Yorkville']",10028,NY,40.776327,-73.953213
9,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican')]",,+1-212-994-9599,,,,district-social-new-york,https://s3-media3.fl.yelpcdn.com/bphoto/prQBUjUQR5iOSmIeVsACUQ/ms.jpg,True,False,<yelp.obj.location.Location object at 0x10c29be80>,,,http://m.yelp.com/biz/district-social-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,District Social,2129949599,4.0,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,,93,,http://s3-media4.fl.yelpcdn.com/photo/KfHyJ-2qgUbD-b0aTH3TMA/ms.jpg,"The Brussels sprouts appetizer is life changing. Do it, I promise you, you'll be happy. 

Octopus is also excellent. And the shrimp flatbread was...",http://www.yelp.com/biz/district-social-new-york?adjust_creative=K_Z1A9EYgTBQ_Ra-XMFnEg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=K_Z1A9EYgTBQ_Ra-XMFnEg,['252 W 37th St'],New York,<yelp.obj.coordinate.Coordinate object at 0x10c29b668>,US,7th Ave & 8th Ave,"['252 W 37th St', 'Midtown West', 'New York, NY 10018']",8.0,['Midtown West'],10018,NY,40.7535743713379,-73.9914321899414
